Sketch Map , BaseId , SketchId , GenId , Generalization Type
AS_Sketch_8.jpg,57,S13,g.57,No generalization
AS_Sketch_8.jpg,26,S14,g.26,No generalization
AS_Sketch_8.jpg,67,S16,g.67,No generalization
AS_Sketch_8.jpg,48,S17,g.48,No generalization
AS_Sketch_8.jpg,17,S19,g.17,No generalization
AS_Sketch_8.jpg,16,S20,g.16,No generalization
AS_Sketch_8.jpg,0,S21,g.0,No generalization
AS_Sketch_8.jpg,53,S22,g.53,No generalization
AS_Sketch_8.jpg,2,S23,g.2,No generalization
AS_Sketch_8.jpg,25,S24,g.25,No generalization
AS_Sketch_8.jpg,74 75,S25,g.74.75,Amalgamation
AS_Sketch_8.jpg,76,S26,g.76,No generalization
AS_Sketch_8.jpg,3 5,S27,g.3.5,OmissionMerge
AS_Sketch_8.jpg,6,S28,g.6,No generalization
AS_Sketch_8.jpg,73,S29,g.73,No generalization
AS_Sketch_8.jpg,7,S30,g.7,No generalization
AS_Sketch_8.jpg,9,S32,g.9,No generalization
AS_Sketch_8.jpg,8,S33,g.8,No generalization
AS_Sketch_8.jpg,11,S34,g.11,No generalization
AS_Sketch_8.jpg,47,S35,g.47,No generalization
AS_Sketch_8.jpg,46,S37,g.46,No generalization
