Source,Target,Actual(N/S),Actual(E/W),Observed(N/S),Observed(E/W),Actual D,Actual D ratio,Actual Angle,Observed D,Observed D ratio,Observed Angle,O-A Distance Ratio,O-A Angle,ABS(O-A) Distance Ratio, ABS(O-A) Angle
30_55,27_67,N,E,N,E,199.984999437458,0.261620441216069,-145.594765712337,84.504437753292,0.147678621485528,-110.794114955504,-0.113941819730541,34.800650756833,0.113941819730541,34.800650756833
30_55,27_68,N,E,N,E,234.957442955102,0.307371403184351,-151.253307419371,90.9175450614457,0.158886066584114,-119.666715206946,-0.148485336600237,31.586592212425,0.148485336600237,31.586592212425
30_55,27_69,N,E,N,E,259.615099714943,0.339628557765995,-142.512144103053,108.747413762351,0.190045263675099,-114.443954780417,-0.149583294090896,28.068189322636,0.149583294090896,28.068189322636
30_55,27_70,N,E,N,E,288.513431229813,0.377433364439472,-135.561705332567,127.224211532239,0.222335023795037,-110.714174844349,-0.155098340644435,24.847530488218,0.155098340644435,24.847530488218
30_55,27_71,N,E,N,E,260.823695242591,0.341209642827797,-129.243038559017,122.723265927859,0.214469242305823,-104.149476086345,-0.126740400521974,25.093562472672,0.126740400521974,25.093562472672
30_55,26_72,S,E,S,E,501.678183699471,0.656295562852842,-85.3122341523718,455.987938436972,0.796877323283258,-86.2277163906202,0.140581760430416,-0.915482238248401,0.140581760430416,0.915482238248401
30_55,26_73,S,E,S,E,438.919126947095,0.574194144426228,-84.6401134430442,396.137602355545,0.692283820705857,-85.6567600483106,0.118089676279629,-1.0166466052664,0.118089676279629,1.0166466052664
30_55,26_74,S,E,S,E,375.24658559406,0.490897705148346,-83.7272546967598,336.340601176843,0.587783525362548,-84.8826851500274,0.0968858202142019,-1.1554304532676,0.0968858202142019,1.1554304532676
30_55,26_75,N,E,N,E,375.24658559406,0.490897705148346,-96.2727453032402,335.180548361626,0.585756235374514,-91.8806782381866,0.094858530226168,4.3920670650536,0.094858530226168,4.3920670650536
30_55,26_76,N,E,N,E,392.756922281454,0.513804733289877,-108.250421990661,339.011799204688,0.592451668870216,-98.8232590263132,0.0786469355803391,9.4271629643478,0.0786469355803391,9.4271629643478
30_55,26_77,N,E,N,E,453.980175778635,0.593897013399241,-105.720027885094,398.408082247336,0.696251675524431,-97.4996098191294,0.10235466212519,8.22041806596459,0.10235466212519,8.22041806596459
30_55,26_78,N,E,N,E,514.906787681033,0.673601226877964,-103.82033952701,457.961788799022,0.800326793018057,-96.519801751657,0.126725566140093,7.30053777535301,0.126725566140093,7.30053777535301
30_55,26_79,N,E,N,E,501.678183699471,0.656295562852842,-94.6877658476282,455.132947609817,0.79538315481005,-91.384902921942,0.139087591957208,3.3028629256862,0.139087591957208,3.3028629256862
29_56,27_64,N,E,F,E,106.606754007427,0.139462990216715,-106.905158098636,55,0.0961171318057511,-90,-0.0433458584109639,16.905158098636,0.0433458584109639,16.905158098636
29_56,27_65,N,E,F,E,65.7647321898295,0.086033444010087,-118.123735383289,35,0.0611654475127507,-90,-0.0248679964973363,28.123735383289,0.0248679964973363,28.123735383289
29_56,27_66,N,E,F,E,33.6154726279432,0.0439757722096528,-157.249023657212,15,0.0262137632197503,-90,-0.0177620089899025,67.249023657212,0.0177620089899025,67.249023657212
29_56,27_67,N,E,N,E,72.1803297304744,0.0944263307964439,-169.624155079949,21.2132034355964,0.0370718594662079,-135,-0.057354471330236,34.624155079949,0.057354471330236,34.624155079949
29_56,27_68,N,E,N,E,112.751940116346,0.147502124680263,-173.379223917685,33.5410196624968,0.0586157565054454,-153.434948822922,-0.0888863681748176,19.944275094763,0.0888863681748176,19.944275094763
29_56,27_69,N,E,N,E,126.12692020342,0.164999277974157,-152.622297228668,46.0977222864644,0.0805596517991457,-130.601294645004,-0.0844396261750113,22.021002583664,0.0844396261750113,22.021002583664
29_56,27_70,N,E,N,E,151.485972947993,0.198173999010829,-137.675426656029,62.6498204307083,0.109485837235364,-118.610459665965,-0.088688161775465,19.064966990064,0.088688161775465,19.064966990064
29_56,27_71,N,E,N,E,124.277914369368,0.162580407941522,-124.840944004153,57.0087712549569,0.0996276287417565,-105.255118703058,-0.0629527791997655,19.585825301095,0.0629527791997655,19.585825301095
29_56,26_72,S,E,S,E,422.167028556234,0.552279043870485,-71.3504612459486,393.580995476154,0.687815934880367,-83.4347418154248,0.135536891009882,-12.0842805694762,0.135536891009882,12.0842805694762
29_56,26_73,S,E,S,E,363.034433628547,0.474921763980747,-68.1692832121054,334.044907160699,0.583771606738269,-82.2580087596744,0.108849842757522,-14.088725547569,0.108849842757522,14.088725547569
29_56,26_74,S,E,S,E,304.555413677052,0.398419491087134,-63.6873515052112,274.710756979045,0.480080182491137,-80.5719661059619,0.081660691404003,-16.8846146007507,0.081660691404003,16.8846146007507
29_56,26_75,S,E,S,E,278.09710534272,0.363806723530918,-79.0133124999107,271.029518687541,0.473646908562539,-89.1543672442804,0.109840185031621,-10.1410547443697,0.109840185031621,10.1410547443697
29_56,26_76,N,E,N,E,274.535972142086,0.359148047921248,-96.0636253685118,273.514167823168,0.477989042170904,-97.7746005283867,0.118840994249656,-1.71097515987491,0.118840994249656,1.71097515987491
29_56,26_77,N,E,N,E,338.245472992618,0.442492837625759,-94.9183807141307,333.061555872184,0.582053117549005,-96.3781862890894,0.139560279923246,-1.45980557495869,0.139560279923246,1.45980557495869
29_56,26_78,N,E,N,E,401.049872210427,0.52465357308038,-94.146688825966,392.74673773311,0.686357999217674,-95.4057540149783,0.161704426137294,-1.2590651890123,0.161704426137294,1.2590651890123
29_56,26_79,S,E,S,E,403.49597271844,0.527853562559417,-82.4522742261569,391.020459822757,0.683341183191442,-89.4138743647523,0.155487620632025,-6.9616001385954,0.155487620632025,6.9616001385954
29_57,27_64,N,E,F,E,176.739921919186,0.23121122325703,-100.101876438971,99,0.173010837250352,-90,-0.058200386006678,10.101876438971,0.058200386006678,10.101876438971
29_57,27_65,N,E,F,E,133.645052284026,0.174834500803777,-103.412357641868,79,0.138059152957352,-90,-0.036775347846425,13.412357641868,0.036775347846425,13.412357641868
29_57,27_66,N,E,F,E,90.4765162901402,0.118361407996113,-110.037210169193,59,0.103107468664351,-90,-0.015253939331762,20.037210169193,0.015253939331762,20.037210169193
29_57,27_67,N,E,N,E,110.751975151687,0.144885769863939,-129.871808958147,60.8769250208977,0.106387553202954,-104.26451229808,-0.038498216660985,25.607296660067,0.038498216660985,25.607296660067
29_57,27_68,N,E,N,E,140.60227594175,0.183935943052408,-142.804098591944,66.1891229734916,0.115671066490003,-116.952178931229,-0.068264876562405,25.851919660715,0.068264876562405,25.851919660715
29_57,27_69,N,E,N,E,171.592540630413,0.224477417383268,-130.746163563881,84.504437753292,0.147678621485528,-110.794114955504,-0.07679879589774,19.952048608377,0.07679879589774,19.952048608377
29_57,27_70,N,E,N,E,206.929939834718,0.270705814499372,-122.76849907877,103.4456378974,0.180779963863898,-106.858398767738,-0.089925850635474,15.910100311032,0.089925850635474,15.910100311032
29_57,27_71,N,E,N,E,187.928177770126,0.245847703194999,-112.197717846423,100.129915609672,0.174985459933701,-98.6156481841641,-0.070862243261298,13.5820696622589,0.070862243261298,13.5820696622589
29_57,26_72,S,E,S,E,490.926674769257,0.642230435378415,-74.0385728237504,437.321392113398,0.764255961586145,-84.0938588862295,0.12202552620773,-10.0552860624791,0.12202552620773,10.0552860624791
29_57,26_73,S,E,S,E,430.70407474274,0.563447210464371,-71.7333202366552,377.690349360425,0.66004569256793,-83.1572265873691,0.096598482103559,-11.4239063507139,0.096598482103559,11.4239063507139
29_57,26_74,S,E,S,E,370.472671056854,0.484652468600281,-68.6293777306568,318.198051533946,0.556077891993118,-81.869897645844,0.071425423392837,-13.2405199151872,0.071425423392837,13.2405199151872
29_57,26_75,S,E,S,E,349.047274735099,0.456623758173529,-81.2663177589231,315.025395801672,0.550533408916876,-89.2724736486493,0.093909650743347,-8.0061558897262,0.093909650743347,8.0061558897262
29_57,26_76,N,E,N,E,346.216695149151,0.452920793039864,-94.8048715561304,317.165571902122,0.554273546886594,-96.6992831553596,0.10135275384673,-1.8944115992292,0.10135275384673,1.8944115992292
29_57,26_77,N,E,N,E,410.026828390533,0.536397230070769,-94.0557493042199,376.82091237085,0.658526278209316,-95.6349452021679,0.122129048138547,-1.579195897948,0.122129048138547,1.579195897948
29_57,26_78,N,E,N,E,472.890050646025,0.61863491784239,-93.5158718943272,436.570727374156,0.762944111737353,-94.861732143803,0.144309193894963,-1.34586024947579,0.144309193894963,1.34586024947579
29_57,26_79,S,E,S,E,474.966314595046,0.621351087014838,-83.5932007747803,435.018390415854,0.760231272173205,-89.4731571061575,0.138880185158367,-5.8799563313772,0.138880185158367,5.8799563313772
29_58,27_64,N,E,F,E,248.937743221071,0.325660436532874,-97.1535643183944,143,0.249904542694953,-90,-0.075755893837921,7.1535643183944,0.075755893837921,7.1535643183944
29_58,27_65,N,E,F,E,205.353354002315,0.268643324401372,-98.6825238812682,123,0.214952858401952,-90,-0.05369046599942,8.6825238812682,0.05369046599942,8.6825238812682
29_58,27_66,N,E,F,E,161.012421881046,0.21063650259909,-101.100570021505,103,0.180001174108952,-90,-0.030635328490138,11.100570021505,0.030635328490138,11.100570021505
29_58,27_67,N,E,N,E,173.219513912261,0.226605824358997,-114.19758170952,104.086502487114,0.181899928704611,-98.2857970239537,-0.044705895654386,15.9117846855663,0.044705895654386,15.9117846855663
29_58,27_68,N,E,N,E,193.66982212002,0.253358924198326,-125.331331338916,107.280007457121,0.187480847579602,-106.238841629692,-0.065878076618724,19.092489709224,0.065878076618724,19.092489709224
29_58,27_69,N,E,N,E,231.846932263509,0.303302232087364,-118.886581766911,126.605687076055,0.221254100219034,-103.70696100408,-0.08204813186833,15.179620762831,0.08204813186833,15.179620762831
29_58,27_70,N,E,N,E,271.206563342409,0.354792514248171,-114.3915021437,146.1129699924,0.25534471991435,-101.848266238414,-0.099447794333821,12.543235905286,0.099447794333821,12.543235905286
29_58,27_71,N,E,N,E,257.001945517928,0.336210028596748,-106.037265057114,143.784561062723,0.251275629223597,-95.9881483757755,-0.084934399373151,10.0491166813385,0.084934399373151,10.0491166813385
29_58,26_72,S,E,S,E,561.471281545192,0.734516912874473,-76.08750532348,481.109135228173,0.840778730248676,-84.633058916507,0.106261817374203,-8.54555359302699,0.106261817374203,8.54555359302699
29_58,26_73,S,E,S,E,500.548698929485,0.654817970509907,-74.3533444793515,421.409539521829,0.736448659171282,-83.8700119528115,0.081630688661375,-9.51666747345999,0.081630688661375,9.51666747345999
29_58,26_74,S,E,S,E,439.259604334384,0.574639557054861,-72.1012811169135,361.809342057388,0.632292294892401,-82.8553416294086,0.05765273783754,-10.7540605124951,0.05765273783754,10.7540605124951
29_58,26_75,S,E,S,E,421.346650633418,0.551205825205411,-82.7737842635241,359.022283430987,0.627421675231598,-89.3616333294183,0.076215850026187,-6.58784906589419,0.076215850026187,6.58784906589419
29_58,26_76,N,E,N,E,419.004773242501,0.548142180442009,-93.9687066626561,360.901648652372,0.630706024226053,-95.8843597882609,0.082563843784044,-1.91565312560479,0.082563843784044,1.91565312560479
29_58,26_77,N,E,N,E,482.871618548864,0.631692808214741,-93.44310582927,420.630479161936,0.735087185584074,-95.0464418596857,0.103394377369333,-1.6033360304157,0.103394377369333,1.6033360304157
29_58,26_78,N,E,N,E,545.771014254147,0.713977818105128,-93.0458936905104,480.426893502019,0.839586455377474,-94.4169990259936,0.125608637272346,-1.37110533548321,0.125608637272346,1.37110533548321
29_58,26_79,S,E,S,E,547.570999962562,0.716332559993483,-84.4455825056393,479.01670117022,0.837122025518803,-89.5215494970014,0.12078946552532,-5.07596699136211,0.12078946552532,5.07596699136211
